entity_name,entity_type,principal_name,principal_title,principal_linkedin,principal_email,entity_linkedin,website,address,aum_range,recent_signal,signal_date,discovery_source,source_url,verification_status,verification_notes
Chestnut Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1355 PEACHTREE ST NE STE 1450, Atlanta, GA, 30309-4906",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/814986125,Low,Could not verify
Cinelli Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"PO BOX D, Lawrence, KS, 66044-8998",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/873895218,Low,Could not verify
Crabill Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"135 MAIN ST STE 850, San Francisco, CA, 94105-8117",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/832152945,Low,Could not verify
Crown Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"30 SOUTH WELLS STREET 4049, Chicago, IL, 60606-5054",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/363330462,Low,Could not verify
Davis Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"PO BOX 468, Hanover, MD, 21076-0468",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/10751429,Low,Could not verify
Dorrance Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"6263 N SCOTTSDALE RD STE 330, Scottsdale, AZ, 85250-5417",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/860691863,Low,Could not verify
Dunlap Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"12 GRANDVIEW CIR, Canonsburg, PA, 15317-8533",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/884360481,Low,Could not verify
Edgerley Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"9401 INDIAN CREEK PKWY STE 800, Overland Park, KS, 66210-2128",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/201867709,Low,Could not verify
Farmer Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"8044 MONTGOMERY RD STE 480, Cincinnati, OH, 45236-2925",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/311256614,Low,Could not verify
Ford Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1600 NW STEWART PKWY, Roseburg, OR, 97471-1957",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/936026156,Low,Could not verify
Friedman Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1 BEEKMAN PL APT 11C, New York, NY, 10022-8069",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/133025979,Low,Could not verify
Goldring Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"524 METAIRIE RD, Metairie, LA, 70005-4308",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/726022666,Low,Could not verify
Hall Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"2480 PERSHING RD STE 600, Kansas City, MO, 64108-3569",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/446006291,Low,Could not verify
Halvorsen Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"VIKING 600 WASHINGTON BLVD 11TH F, Stamford, CT, 06901-0000",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/61603158,Low,Could not verify
Hunter Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"50 E WASHINGTON ST STE 400, Chicago, IL, 60602-2100",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/371887329,Low,Could not verify
Kolatch Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"144 WALNUT ST, Englewood, NJ, 07631-3012",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/133918276,Low,Could not verify
Konzen Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1420 NW GILMAN BLVD 2154, Issaquah, WA, 98027-5394",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/853910161,Low,Could not verify
Koum Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1801 PAGE MILL RD STE 100, Palo Alto, CA, 94304-1216",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/475446562,Low,Could not verify
Mandarich Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"5353 W DARTMOUTH AVE STE 306, Denver, CO, 80227-5517",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/464325245,Low,Could not verify
Marek Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"3701 PINEY WOODS DR, Houston, TX, 77018-5846",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/746108373,Low,Could not verify
Mondre Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"55 HUDSON YARDS 40TH FLOOR, New York, NY, 10001-2163",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/833036876,Low,Could not verify
Mulva Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"200 CONGRESS AVE UNIT 49UT, Austin, TX, 78701-0074",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/203221183,Low,Could not verify
Names Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1019 REGENTS BLVD STE 201, Fircrest, WA, 98466-6037",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/943250195,Low,Could not verify
Overdeck Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"101 AVENUE OF THE AMERICAS FL 14, New York, NY, 10013-1905",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/264377643,Low,Could not verify
Pathy Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"MONTREAL QUEBEC H3B 4W5, Canada, 00000-0000",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/981735754,Low,Could not verify
Patterson Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"300 WYANDOTTE ST STE 301, Kansas City, MO, 64105-2292",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/207550081,Low,Could not verify
Phillips Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"9651 KATY FWY STE 525, Houston, TX, 77024-1598",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/750590214,Low,Could not verify
Pichai Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"555 CALIFORNIA STREET 41ST FLOOR, San Francisco, CA, 94104-1714",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/832405611,Low,Could not verify
Silver Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"PO BOX 18234, Portland, OR, 97218-0234",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/61532898,Low,Could not verify
Slaggie Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"111 MARKET ST STE 3B, Winona, MN, 55987-5532",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/411878894,Low,Could not verify
Sobrato Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"599 CASTRO ST STE 400, Mountain View, CA, 94041-3009",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/770348912,Low,Could not verify
Spaht Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"135 MAIN ST STE 850, San Francisco, CA, 94105-8117",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/832183149,Low,Could not verify
Stanley Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"430 CENTRAL DR, Briarcliff, NY, 10510-1102",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/61157888,Low,Could not verify
Steans Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"50 E WASHINGTON ST STE 400, Chicago, IL, 60602-2100",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/363486843,Low,Could not verify
Sundheim Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"C/O SUNNY CAP MGMT 9 W 57TH ST, New York, NY, 10019-0000",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/831563495,Low,Could not verify
Towle Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"4950 S YOSEMITE ST STE F2 PMB 327, Greenwood Vlg, CO, 80111-1350",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/431800405,Low,Could not verify
Tsao Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"PO BOX 1115, Corona Dl Mar, CA, 92625-6115",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/202043022,Low,Could not verify
Weill Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"PO BOX 10879, Albany, NY, 12201-5879",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/136223609,Low,Could not verify
Wyatt Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1111 CHAPALA ST STE 200, Santa Barbara, CA, 93101-3100",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/931503406,Low,Could not verify
Zorich Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"9651 KATY FWY STE 525, Houston, TX, 77024-1598",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/760664404,Low,Could not verify
